sgRNA_ID	Gene	HAP1_T0
chr10:3141487-3141506_PFKP_+	PFKP	76.0
chr10:75671518-75671537_C10orf55_+	C10orf55	713.0
chr3:88104669-88104688_CGGBP1_-	CGGBP1	926.0
chr12:10541372-10541391_KLRK1_-	KLRK1	716.0
chr19:50713997-50714016_MYH14_-	MYH14	950.0
chr4:78783990-78784009_MRPL1_+	MRPL1	1449.0
chr5:111066652-111066671_NREP_+	NREP	1136.0
LacZ:1878-1897_LacZ_-	LacZ	931.0
chr4:38696423-38696442_KLF3_+	KLF3	511.0
chr16:89628020-89628039_RPL13_-	RPL13	737.0
chr6:74079406-74079425_OOEP_+	OOEP	1225.0
chr12:123259226-123259245_CCDC62_-	CCDC62	1052.0
chr13:19752412-19752431_TUBA3C_-	TUBA3C	1438.0
chr1:229685038-229685057_ABCB10_+	ABCB10	2090.0
chr1:206225054-206225073_AVPR1B_-	AVPR1B	1342.0
chr5:134240817-134240836_PCBD2_+	PCBD2	1660.0
chr3:119721057-119721076_GSK3B_-	GSK3B	1692.0
chr5:71403400-71403419_MAP1B_+	MAP1B	2309.0
chr19:14288455-14288474_LPHN1_-	LPHN1	1889.0
chr1:45792947-45792966_HPDL_+	HPDL	924.0
chr17:30320944-30320963_SUZ12_-	SUZ12	1208.0
chr1:27994824-27994843_IFI6_-	IFI6	1144.0
chr17:53798212-53798231_TMEM100_-	TMEM100	424.0
chr1:1534843-1534862_C1orf233_-	C1orf233	1253.0
chr6:128841488-128841507_PTPRK_-	PTPRK	1128.0
chr20:43933000-43933019_MATN4_-	MATN4	438.0
chr4:169351654-169351673_DDX60L_-	DDX60L	1004.0
chr1:156212043-156212062_BGLAP_-	BGLAP	895.0
chr2:219846518-219846537_FEV_+	FEV	246.0
chr1:92764632-92764651_RPAP2_-	RPAP2	1423.0
chr10:70166926-70166945_RUFY2_+	RUFY2	1855.0
chr3:37903696-37903715_CTDSPL_+	CTDSPL	1436.0
chr19:1026690-1026709_CNN2_-	CNN2	1688.0
chr2:70142506-70142525_MXD1_+	MXD1	1063.0
chr16:2294529-2294548_ECI1_+	ECI1	1046.0
chr22:21341823-21341842_LZTR1_-	LZTR1	1393.0
chr19:42373769-42373788_RPS19_+	RPS19	1109.0
chr4:951991-952010_TMEM175_-	TMEM175	1532.0
chr20:61987347-61987366_CHRNA4_+	CHRNA4	1248.0
chr18:76754127-76754146_SALL3_+	SALL3	1570.0
chr17:7323705-7323724_SPEM1_-	SPEM1	1972.0
chr9:140441284-140441303_PNPLA7_-	PNPLA7	1490.0
chr14:24423122-24423141_DHRS4_-	DHRS4	1408.0
chr3:158520097-158520116_MFSD1_-	MFSD1	979.0
chr21:27462247-27462266_APP_+	APP	1385.0
chr16:67222998-67223017_EXOC3L1_+	EXOC3L1	1281.0
chr5:137780998-137781017_REEP2_-	REEP2	487.0
chr21:47648362-47648381_LSS_-	LSS	789.0
chr8:6793600-6793619_DEFA4_-	DEFA4	1261.0
chr15:73660005-73660024_HCN4_-	HCN4	1303.0
chr20:44856162-44856181_CDH22_-	CDH22	0.0
chr1:19282415-19282434_IFFO2_-	IFFO2	914.0
chr14:103390139-103390158_AMN_+	AMN	813.0
chr15:89456461-89456480_MFGE8_+	MFGE8	1048.0
chr1:15736648-15736667_EFHD2_+	EFHD2	1332.0
chr11:89956042-89956061_CHORDC1_+	CHORDC1	942.0
chr3:197476877-197476896_FYTTD1_-	FYTTD1	597.0
chr1:1259944-1259963_CPSF3L_+	CPSF3L	2672.0
chr6:153304013-153304032_FBXO5_+	FBXO5	1124.0
chr3:184098490-184098509_CHRD_+	CHRD	1244.0
chr6:82461852-82461871_FAM46A_-	FAM46A	1171.0
EGFP:26-45_EGFP_-	EGFP	585.0
chr19:19243243-19243262_TMEM161A_-	TMEM161A	1761.0
chr7:72743431-72743450_FKBP6_+	FKBP6	583.0
chr10:82043675-82043694_MAT1A_-	MAT1A	1763.0
chrX:48760712-48760731_SLC35A2_+	SLC35A2	1677.0
chr1:149859205-149859224_HIST2H2AB_+	HIST2H2AB	1431.0
chr22:25251315-25251334_SGSM1_+	SGSM1	1435.0
chr1:116930761-116930780_ATP1A1_-	ATP1A1	1845.0
chr1:156643275-156643294_NES_-	NES	1247.0
chr4:113153302-113153321_AP1AR_+	AP1AR	731.0
chr10:26986670-26986689_PDSS1_+	PDSS1	409.0
chr1:248757047-248757066_OR2T10_-	OR2T10	1642.0
chr17:49239137-49239156_NME1_+	NME1	1989.0
chr4:90816660-90816679_MMRN1_+	MMRN1	1002.0
chr7:47467953-47467972_TNS3_-	TNS3	730.0
chr17:17801930-17801949_TOM1L2_-	TOM1L2	794.0
chr13:95363851-95363870_SOX21_+	SOX21	1002.0
chr5:86637110-86637129_RASA1_+	RASA1	1053.0
chr7:1015077-1015096_COX19_+	COX19	1007.0
chr22:17601961-17601980_CECR6_+	CECR6	382.0
chr19:48018167-48018186_NAPA_-	NAPA	948.0
chr12:74932108-74932127_ATXN7L3B_-	ATXN7L3B	945.0
chr10:112661298-112661317_BBIP1_-	BBIP1	752.0
chr5:147593515-147593534_SPINK6_+	SPINK6	561.0
chr22:47103743-47103762_CERK_+	CERK	606.0
chr3:111394158-111394177_PLCXD2_+	PLCXD2	929.0
chr1:155255719-155255738_HCN3_+	HCN3	1126.0
chr1:44679447-44679466_DMAP1_+	DMAP1	166.0
chr9:138557170-138557189_LCN9_+	LCN9	439.0
chr9:136445318-136445337_FAM163B_-	FAM163B	1092.0
chr21:33331182-33331201_HUNK_+	HUNK	1464.0
chr1:27943478-27943497_FGR_-	FGR	860.0
chr12:11461396-11461415_PRB4_+	PRB4	1168.0
chr3:170585892-170585911_RPL22L1_-	RPL22L1	999.0
chr2:159488314-159488333_PKP4_-	PKP4	765.0
chr12:65563442-65563461_LEMD3_-	LEMD3	1123.0
chr18:12366999-12367018_AFG3L2_-	AFG3L2	1015.0
chr17:16256594-16256613_CENPV_-	CENPV	536.0
chr4:88929117-88929136_PKD2_-	PKD2	390.0
chr11:2444193-2444212_TRPM5_-	TRPM5	603.0
chr16:17353100-17353119_XYLT1_+	XYLT1	594.0
chr3:184035136-184035155_EIF4G1_-	EIF4G1	1178.0
chr19:7914160-7914179_EVI5L_+	EVI5L	1540.0
chr11:65779517-65779536_CST6_-	CST6	795.0
chr1:114424405-114424424_BCL2L15_-	BCL2L15	1635.0
chr6:32819973-32819992_TAP1_-	TAP1	89.0
chr1:36859612-36859631_LSM10_-	LSM10	1135.0
chr12:92814852-92814871_CLLU1OS_-	CLLU1OS	1093.0
chr6:13814589-13814608_MCUR1_+	MCUR1	551.0
chr16:3197381-3197400_CASP16_+	CASP16	975.0
chr7:99654940-99654959_ZSCAN21_-	ZSCAN21	861.0
chr8:11710183-11710202_CTSB_-	CTSB	1015.0
chr10:111988030-111988049_MXI1_+	MXI1	1457.0
chr17:40738872-40738891_FAM134C_+	FAM134C	730.0
chr20:3641722-3641741_GFRA4_+	GFRA4	964.0
chr5:36038065-36038084_UGT3A2_-	UGT3A2	1442.0
chr10:49687669-49687688_ARHGAP22_+	ARHGAP22	1147.0
chr19:41825543-41825562_CCDC97_+	CCDC97	917.0
chr19:7990183-7990202_CTXN1_-	CTXN1	986.0
chr11:65685558-65685577_C11orf68_+	C11orf68	990.0
chr15:48936827-48936846_FBN1_-	FBN1	1021.0
chr8:144295743-144295762_GPIHBP1_+	GPIHBP1	1366.0
chr12:103271224-103271243_PAH_+	PAH	1738.0
chr5:92920717-92920736_NR2F1_+	NR2F1	1485.0
chr8:55047874-55047893_MRPL15_+	MRPL15	1246.0
chr11:450442-450461_PTDSS2_+	PTDSS2	210.0
chr14:94423184-94423203_ASB2_+	ASB2	997.0
chrX:102840562-102840581_TCEAL4_+	TCEAL4	2138.0
chr4:140201301-140201320_MGARP_-	MGARP	553.0
chr1:228645117-228645136_HIST3H2A_+	HIST3H2A	1664.0
chr1:41978543-41978562_HIVEP3_+	HIVEP3	950.0
chr11:36119888-36119907_LDLRAD3_-	LDLRAD3	764.0
chr17:4803119-4803138_C17orf107_-	C17orf107	1031.0
chr1:38274090-38274109_C1orf122_+	C1orf122	1562.0
chr1:155295196-155295215_RUSC1_+	RUSC1	1086.0
chr8:81083671-81083690_TPD52_-	TPD52	1217.0
chr16:4836080-4836099_SEPT12_-	SEPT12	1229.0
chr4:186295312-186295331_LRP2BP_-	LRP2BP	1600.0
chr12:121986793-121986812_KDM2B_+	KDM2B	694.0
chr17:4020351-4020370_ZZEF1_+	ZZEF1	424.0
chr20:62608431-62608450_SAMD10_+	SAMD10	696.0
chr18:40695418-40695437_RIT2_-	RIT2	942.0
chr19:45910436-45910455_CD3EAP_+	CD3EAP	1493.0
chr6:1390173-1390192_FOXF2_+	FOXF2	527.0
chr5:177633791-177633810_HNRNPAB_-	HNRNPAB	1109.0
chrX:140785811-140785830_SPANXD_+	SPANXD	912.0
chr17:29233192-29233211_TEFM_-	TEFM	1342.0
chr6:26124758-26124777_HIST1H2AC_+	HIST1H2AC	1405.0
chr3:37547506-37547525_ITGA9_-	ITGA9	1262.0
chr1:53308557-53308576_ZYG11A_-	ZYG11A	887.0
chr8:26627981-26628000_ADRA1A_+	ADRA1A	1070.0
chr6:43024156-43024175_MRPL2_-	MRPL2	1107.0
chr5:76012187-76012206_F2R_-	F2R	708.0
chr7:102280747-102280766_UPK3BL_-	UPK3BL	1201.0
chr16:427441-427460_TMEM8A_+	TMEM8A	1025.0
chr17:59477563-59477582_TBX2_-	TBX2	324.0
chr2:73456046-73456065_PRADC1_-	PRADC1	782.0
chr10:28233167-28233186_ARMC4_-	ARMC4	360.0
chr1:37980301-37980320_MEAF6_+	MEAF6	886.0
chr16:2264031-2264050_PGP_-	PGP	831.0
chr2:237076191-237076210_GBX2_-	GBX2	502.0
chr19:41903737-41903756_BCKDHA_+	BCKDHA	184.0
chr5:140182744-140182763_PCDHA3_-	PCDHA3	817.0
chr17:65529025-65529044_PITPNC1_-	PITPNC1	1096.0
chr19:16275660-16275679_CIB3_-	CIB3	121.0
chr4:54930350-54930369_CHIC2_+	CHIC2	976.0
chr5:130506700-130506719_LYRM7_+	LYRM7	1941.0
chr9:139866027-139866046_C9orf141_+	C9orf141	924.0
chr10:99790190-99790209_CRTAC1_+	CRTAC1	1139.0
chr19:45260651-45260670_BCL3_+	BCL3	683.0
chr2:153417435-153417454_FMNL2_+	FMNL2	477.0
chr19:52376067-52376086_ZNF577_-	ZNF577	1411.0
chr3:9803339-9803358_CAMK1_+	CAMK1	1169.0
chr16:53907748-53907767_FTO_-	FTO	518.0
chr12:48167176-48167195_SLC48A1_+	SLC48A1	920.0
chr15:80429833-80429852_ZFAND6_+	ZFAND6	1074.0
chr19:11350463-11350482_C19orf80_+	C19orf80	723.0
chrX:54570699-54570718_GNL3L_-	GNL3L	1029.0
chr2:55214715-55214734_RTN4_-	RTN4	1570.0
chr6:100897252-100897271_SIM1_-	SIM1	1628.0
chr3:186502412-186502431_EIF4A2_-	EIF4A2	906.0
chr1:225600276-225600295_LBR_+	LBR	565.0
chr7:44839065-44839084_PPIA_-	PPIA	564.0
chr21:27097532-27097551_ATP5J_+	ATP5J	630.0
chr19:12806996-12807015_FBXW9_-	FBXW9	1310.0
chr21:34399563-34399582_OLIG2_-	OLIG2	616.0
chr12:121018966-121018985_POP5_-	POP5	1248.0
chrX:65392407-65392426_HEPH_-	HEPH	793.0
chr14:24803807-24803826_ADCY4_+	ADCY4	1104.0
chr17:4846210-4846229_RNF167_-	RNF167	392.0
chr14:36789701-36789720_MBIP_+	MBIP	935.0
chr7:97784102-97784121_LMTK2_+	LMTK2	1117.0
chr4:70361045-70361064_UGT2B4_+	UGT2B4	481.0
chr5:179222985-179223004_LTC4S_-	LTC4S	1052.0
chr16:58060383-58060402_MMP15_+	MMP15	16.0
chr9:131484042-131484061_ZDHHC12_+	ZDHHC12	234.0
chr8:72756299-72756318_MSC_+	MSC	763.0
chr4:166258936-166258955_MSMO1_+	MSMO1	1280.0
chr11:62749384-62749403_SLC22A6_+	SLC22A6	1618.0
chr22:39537383-39537402_CBX7_+	CBX7	852.0
EGFP:524-543_EGFP_-	EGFP	1265.0
chr7:140404670-140404689_NDUFB2_+	NDUFB2	1065.0
chr17:61908218-61908237_PSMC5_-	PSMC5	1664.0
LacZ:1480-1499_LacZ_-	LacZ	154.0
chr1:153598828-153598847_S100A13_-	S100A13	1191.0
chr20:60718266-60718285_PSMA7_-	PSMA7	1022.0
chr1:1471102-1471121_TMEM240_+	TMEM240	1243.0
chr15:83544091-83544110_HOMER2_-	HOMER2	2446.0
chr3:112068645-112068664_CD200_+	CD200	1268.0
chr8:145557554-145557573_SCRT1_-	SCRT1	594.0
chr12:49690736-49690755_PRPH_-	PRPH	1019.0
chr11:116708062-116708081_APOA1_+	APOA1	2534.0
chr12:11083296-11083315_PRH2_+	PRH2	2461.0
chr1:17332224-17332243_ATP13A2_+	ATP13A2	2416.0
chr6:43422159-43422178_DLK2_+	DLK2	1891.0
chr2:131812959-131812978_FAM168B_-	FAM168B	1650.0
chr19:30433451-30433470_URI1_+	URI1	2546.0
chr20:31878780-31878799_BPIFB1_-	BPIFB1	1642.0
chr19:56190032-56190051_EPN1_+	EPN1	1092.0
chr19:9929262-9929281_FBXL12_+	FBXL12	2752.0
chr19:33353427-33353446_SLC7A9_-	SLC7A9	1199.0
chr10:134259232-134259251_C10orf91_-	C10orf91	1849.0
chr1:16342092-16342111_HSPB7_-	HSPB7	1544.0
chr1:6012762-6012781_NPHP4_-	NPHP4	2648.0
chr19:8620554-8620573_MYO1F_+	MYO1F	1976.0
chr2:220251371-220251390_DNPEP_+	DNPEP	2421.0
chr16:28878696-28878715_SH2B1_+	SH2B1	1834.0
chr11:70049799-70049818_FADD_+	FADD	206.0
chr11:17741736-17741755_MYOD1_+	MYOD1	1464.0
chr4:6642607-6642626_MRFAP1_+	MRFAP1	2091.0
chr19:56658352-56658371_ZNF444_-	ZNF444	726.0
chr19:11200257-11200276_LDLR_+	LDLR	1494.0
chr14:69847265-69847284_ERH_-	ERH	1684.0
chr14:69951810-69951829_PLEKHD1_+	PLEKHD1	1522.0
chr17:42635506-42635525_FZD2_+	FZD2	1151.0
chr11:64054461-64054480_GPR137_+	GPR137	1210.0
chr22:40415917-40415936_FAM83F_+	FAM83F	1912.0
chr19:18898315-18898334_COMP_+	COMP	147.0
chr19:18896853-18896872_COMP_+	COMP	36.0
chr12:54332741-54332760_HOXC13_+	HOXC13	1014.0
chr11:57509293-57509312_C11orf31_+	C11orf31	1003.0
chr16:72984721-72984740_ZFHX3_-	ZFHX3	847.0
chr7:75677537-75677556_MDH2_-	MDH2	2039.0
chr11:89951314-89951333_CHORDC1_+	CHORDC1	1197.0
chr19:11727787-11727806_ZNF627_+	ZNF627	1523.0
chr2:141806651-141806670_LRP1B_+	LRP1B	430.0
chr19:3961077-3961096_DAPK3_-	DAPK3	864.0
chr2:106761734-106761753_UXS1_+	UXS1	0.0
chr3:126708254-126708273_PLXNA1_-	PLXNA1	952.0
chr6:36953628-36953647_MTCH1_-	MTCH1	1023.0
chr11:118305679-118305698_RP11-770J1.4_+	RP11-770J1.4	1532.0
chr7:101265410-101265429_MYL10_+	MYL10	1335.0
chr6:50011362-50011381_DEFB112_-	DEFB112	848.0
chrX:78216954-78216973_P2RY10_+	P2RY10	2230.0
chr20:15948254-15948273_MACROD2_+	MACROD2	1051.0
chr5:102474152-102474171_PPIP5K2_+	PPIP5K2	560.0
chr2:172864861-172864880_METAP1D_+	METAP1D	1561.0
chr19:54782819-54782838_LILRB2_-	LILRB2	1381.0
chrX:122799546-122799565_THOC2_+	THOC2	1650.0
chr11:5020728-5020747_OR51L1_-	OR51L1	974.0
chr1:31655392-31655411_NKAIN1_-	NKAIN1	1022.0
chr2:233350620-233350639_ECEL1_+	ECEL1	350.0
chr11:67034200-67034219_ADRBK1_+	ADRBK1	1091.0
chr3:151474923-151474942_AADACL2_+	AADACL2	652.0
chr5:52096237-52096256_PELO_+	PELO	1079.0
chr18:56621010-56621029_ZNF532_+	ZNF532	857.0
chr10:99473851-99473870_MARVELD1_-	MARVELD1	905.0
chr22:28293846-28293865_PITPNB_-	PITPNB	1133.0
chr4:7043024-7043043_CCDC96_-	CCDC96	1083.0
chr11:58959581-58959600_DTX4_-	DTX4	1469.0
chr1:110655567-110655586_UBL4B_-	UBL4B	1251.0
chr12:93788474-93788493_NUDT4_+	NUDT4	1710.0
chr6:90090048-90090067_RRAGD_+	RRAGD	2001.0
chr1:228596948-228596967_TRIM17_-	TRIM17	1753.0
chr11:35492289-35492308_PAMR1_-	PAMR1	734.0
chr12:129307961-129307980_SLC15A4_+	SLC15A4	2346.0
chr14:75580971-75580990_NEK9_-	NEK9	1636.0
chr16:103478-103497_POLR3K_-	POLR3K	1981.0
chr19:41889702-41889721_TMEM91_-	TMEM91	1457.0
chr5:176730190-176730209_RAB24_-	RAB24	966.0
chr20:23618330-23618349_CST3_-	CST3	1385.0
chrX:46618164-46618183_SLC9A7_+	SLC9A7	889.0
chr16:1143783-1143802_C1QTNF8_+	C1QTNF8	1328.0
chr11:118111044-118111063_MPZL3_-	MPZL3	2280.0
chr10:125426477-125426496_GPR26_-	GPR26	668.0
chr15:65347506-65347525_RASL12_-	RASL12	1880.0
chr18:74587599-74587618_ZNF236_+	ZNF236	937.0
chr7:140156603-140156622_MKRN1_-	MKRN1	1069.0
chr1:28099901-28099920_STX12_+	STX12	779.0
chr16:83841705-83841724_HSBP1_+	HSBP1	1865.0
chr17:73636299-73636318_SMIM5_+	SMIM5	460.0
chr22:45132746-45132765_PRR5_+	PRR5	537.0
chr2:208486561-208486580_METTL21A_+	METTL21A	2260.0
chr19:45211161-45211180_CEACAM16_+	CEACAM16	1637.0
chr12:6729655-6729674_LPAR5_-	LPAR5	104.0
chr6:3751739-3751758_PXDC1_+	PXDC1	1244.0
chr1:45242401-45242420_RPS8_+	RPS8	1450.0
chr4:6718287-6718306_BLOC1S4_+	BLOC1S4	447.0
chr19:13885281-13885300_C19orf53_+	C19orf53	1160.0
chr2:12858662-12858681_TRIB2_+	TRIB2	1098.0
chr10:98945282-98945301_SLIT1_+	SLIT1	906.0
chr16:89999886-89999905_TUBB3_+	TUBB3	1399.0
chr1:43613748-43613767_FAM183A_-	FAM183A	1652.0
chr16:66424322-66424341_CDH5_+	CDH5	1342.0
chr17:79892925-79892944_PYCR1_+	PYCR1	904.0
chrX:47032532-47032551_RBM10_-	RBM10	1312.0
chr19:913148-913167_R3HDM4_-	R3HDM4	701.0
chrX:46434302-46434321_CHST7_-	CHST7	562.0
chr2:95940531-95940550_PROM2_+	PROM2	1153.0
chr2:20647724-20647743_RHOB_+	RHOB	814.0
chr1:226411401-226411420_MIXL1_+	MIXL1	1238.0
chr15:23931656-23931675_NDN_-	NDN	1095.0
chr9:130980991-130981010_DNM1_-	DNM1	529.0
chr8:142367645-142367664_GPR20_+	GPR20	473.0
chr22:39714414-39714433_RPL3_-	RPL3	567.0
chr19:5691353-5691372_RPL36_+	RPL36	978.0
chr19:33183250-33183269_NUDT19_+	NUDT19	1038.0
chr12:76786376-76786395_OSBPL8_-	OSBPL8	707.0
chr4:55136825-55136844_PDGFRA_+	PDGFRA	1069.0
chrX:106243098-106243117_MORC4_+	MORC4	1318.0
chr8:101620748-101620767_SNX31_-	SNX31	819.0
chr1:28199142-28199161_THEMIS2_+	THEMIS2	1056.0
chr9:140127323-140127342_SLC34A3_-	SLC34A3	1046.0
chr1:209849122-209849141_G0S2_+	G0S2	19.0
chr10:126150491-126150510_LHPP_+	LHPP	570.0
chr13:73633606-73633625_KLF5_-	KLF5	1334.0
chr1:151811141-151811160_C2CD4D_+	C2CD4D	306.0
chr7:30197107-30197126_C7orf41_+	C7orf41	1821.0
chr1:172437623-172437642_C1orf105_-	C1orf105	1884.0
chr22:26897922-26897941_TFIP11_-	TFIP11	1804.0
chr6:107390027-107390046_BEND3_-	BEND3	1380.0
chr10:94368783-94368802_KIF11_-	KIF11	751.0
chr16:1547077-1547096_TELO2_-	TELO2	1161.0
chr11:124135703-124135722_OR8G5_-	OR8G5	1213.0
chr11:35333925-35333944_SLC1A2_+	SLC1A2	650.0
chr17:76570806-76570825_DNAH17_-	DNAH17	744.0
chr6:24520718-24520737_ALDH5A1_+	ALDH5A1	1994.0
chrX:69489722-69489741_ARR3_+	ARR3	410.0
chr12:124957536-124957555_NCOR2_-	NCOR2	1037.0
chr1:159751130-159751149_DUSP23_+	DUSP23	332.0
chr2:233406084-233406103_CHRNG_+	CHRNG	1639.0
chr1:67890829-67890848_SERBP1_-	SERBP1	1584.0
chr12:2113486-2113505_DCP1B_-	DCP1B	1451.0
chr1:6215711-6215730_CHD5_-	CHD5	1417.0
chr17:6428700-6428719_PITPNM3_-	PITPNM3	1087.0
chr12:14720620-14720639_PLBD1_-	PLBD1	801.0
chrX:48564736-48564755_SUV39H1_+	SUV39H1	946.0
chr4:119631419-119631438_METTL14_+	METTL14	1207.0
chr17:73513132-73513151_TSEN54_+	TSEN54	629.0
chr14:104561888-104561907_ASPG_-	ASPG	726.0
chr1:3301748-3301767_PRDM16_+	PRDM16	218.0
chr10:73050733-73050752_UNC5B_+	UNC5B	1641.0
chr11:47298336-47298355_MADD_+	MADD	828.0
chrX:86873110-86873129_KLHL4_+	KLHL4	345.0
chr15:42104187-42104206_MAPKBP1_+	MAPKBP1	1589.0
chr19:51359582-51359601_KLK3_+	KLK3	1470.0
chr19:50939285-50939304_MYBPC2_+	MYBPC2	1110.0
chr7:105641956-105641975_CDHR3_+	CDHR3	285.0
chr4:3446592-3446611_HGFAC_+	HGFAC	1131.0
chr5:130970711-130970730_RAPGEF6_-	RAPGEF6	1626.0
chr14:69866143-69866162_SLC39A9_+	SLC39A9	971.0
chr19:48876869-48876888_SYNGR4_+	SYNGR4	1346.0
chr6:43543595-43543614_XPO5_-	XPO5	645.0
chr5:44809126-44809145_MRPS30_-	MRPS30	634.0
chr1:155006064-155006083_DCST2_+	DCST2	1196.0
chr2:224824575-224824594_MRPL44_+	MRPL44	1662.0
chr22:30766478-30766497_CCDC157_-	CCDC157	1075.0
chr1:15768967-15768986_CTRC_+	CTRC	1257.0
chr20:25257884-25257903_PYGB_+	PYGB	1029.0
chr14:31091532-31091551_SCFD1_+	SCFD1	902.0
chr3:46875122-46875141_PRSS42_-	PRSS42	318.0
chr5:138729502-138729521_PROB1_-	PROB1	1195.0
chr20:23016822-23016841_SSTR4_+	SSTR4	314.0
chr17:41994717-41994736_FAM215A_-	FAM215A	1624.0
chr11:840419-840438_POLR2L_+	POLR2L	1394.0
chr7:27194725-27194744_HOXA7_+	HOXA7	850.0
chr1:3431135-3431154_MEGF6_-	MEGF6	755.0
chr7:42088092-42088111_GLI3_-	GLI3	1076.0
chr19:46094545-46094564_GPR4_-	GPR4	1342.0
chr9:140157638-140157657_NELFB_+	NELFB	921.0
chr4:185552286-185552305_CASP3_-	CASP3	922.0
chr17:62045522-62045541_SCN4A_-	SCN4A	601.0
chr1:155112648-155112667_DPM3_+	DPM3	1145.0
chr5:128430663-128430682_ISOC1_+	ISOC1	1418.0
chr19:2321732-2321751_LSM7_-	LSM7	1192.0
chr11:771357-771376_PDDC1_-	PDDC1	1062.0
chr1:67880868-67880887_SERBP1_-	SERBP1	493.0
chr14:61747097-61747116_TMEM30B_-	TMEM30B	958.0
chr19:11565565-11565584_ELAVL3_-	ELAVL3	554.0
chr5:134369413-134369432_PITX1_+	PITX1	1653.0
chr16:47007463-47007482_DNAJA2_+	DNAJA2	1671.0
chr19:17571429-17571448_NXNL1_-	NXNL1	1674.0
chrX:135067832-135067851_SLC9A6_+	SLC9A6	1099.0
chr19:41727059-41727078_AXL_-	AXL	1529.0
chr1:116380873-116380892_NHLH2_-	NHLH2	940.0
chr8:27168439-27168458_TRIM35_-	TRIM35	1182.0
chr11:67250675-67250694_AIP_+	AIP	1481.0
chr13:114149987-114150006_TMCO3_+	TMCO3	635.0
chr16:56904092-56904111_SLC12A3_-	SLC12A3	849.0
chr9:136598969-136598988_SARDH_+	SARDH	1959.0
chr22:21983456-21983475_YDJC_-	YDJC	983.0
chr1:976076-976095_AGRN_+	AGRN	292.0
chr3:71804169-71804188_GPR27_+	GPR27	805.0
chr19:1007662-1007681_GRIN3B_+	GRIN3B	874.0
chr1:1167925-1167944_B3GALT6_+	B3GALT6	1637.0
chrX:129799619-129799638_ENOX2_-	ENOX2	1125.0
chr12:133146741-133146760_FBRSL1_-	FBRSL1	1367.0
chr2:39008990-39009009_GEMIN6_+	GEMIN6	907.0
chr12:13366685-13366704_EMP1_+	EMP1	1577.0
chr17:80972356-80972375_B3GNTL1_+	B3GNTL1	1257.0
chr1:54433447-54433466_LRRC42_-	LRRC42	590.0
chr12:6788148-6788167_ZNF384_-	ZNF384	830.0
chr1:9640052-9640071_SLC25A33_+	SLC25A33	749.0
chr8:74205019-74205038_RPL7_-	RPL7	802.0
LacZ:1137-1156_LacZ_-	LacZ	358.0
chr1:20931450-20931469_CDA_-	CDA	1242.0
chr5:178044424-178044443_CLK4_-	CLK4	2297.0
chr7:75221689-75221708_HIP1_+	HIP1	1092.0
chr17:16981317-16981336_MPRIP_+	MPRIP	699.0
chr15:40226442-40226461_EIF2AK4_-	EIF2AK4	743.0
chr11:85375100-85375119_CREBZF_+	CREBZF	1555.0
chr19:19296876-19296895_MEF2BNB_-	MEF2BNB	1172.0
LacZ:448-467_LacZ_+	LacZ	1178.0
chr6:2893672-2893691_SERPINB9_-	SERPINB9	1155.0
chr5:95194695-95194714_C5orf27_-	C5orf27	388.0
chrX:70325962-70325981_CXorf65_+	CXorf65	393.0
chr4:83423909-83423928_TMEM150C_+	TMEM150C	383.0
chr6:38084432-38084451_ZFAND3_+	ZFAND3	718.0
chr13:42739548-42739567_DGKH_+	DGKH	1341.0
chr1:236966829-236966848_MTR_+	MTR	725.0
chr12:4657916-4657935_RAD51AP1_+	RAD51AP1	498.0
chr4:186064551-186064570_SLC25A4_+	SLC25A4	890.0
chr19:37117949-37117968_ZNF382_-	ZNF382	1033.0
chr11:5906228-5906247_OR52E4_+	OR52E4	813.0
chr7:143826664-143826683_OR2A14_-	OR2A14	1015.0
chr1:242030304-242030323_EXO1_+	EXO1	512.0
chr2:128770679-128770698_SAP130_-	SAP130	961.0
chr1:87538678-87538697_HS2ST1_-	HS2ST1	1159.0
chr4:25411357-25411376_ANAPC4_+	ANAPC4	424.0
chr5:157162910-157162929_THG1L_+	THG1L	958.0
chr7:3180822-3180841_AC091801.1_-	AC091801.1	685.0
chr7:26235517-26235536_HNRNPA2B1_-	HNRNPA2B1	729.0
chr2:228243921-228243940_TM4SF20_+	TM4SF20	636.0
chr2:231911629-231911648_C2orf72_+	C2orf72	953.0
chr1:174983935-174983954_MRPS14_+	MRPS14	1367.0
chr8:30938451-30938470_WRN_+	WRN	2340.0
chr5:110409236-110409255_TSLP_+	TSLP	1131.0
chr6:166742999-166743018_SFT2D1_+	SFT2D1	1133.0
chr6:46129461-46129480_ENPP5_+	ENPP5	830.0
LacZ:2410-2429_LacZ_+	LacZ	27.0
chr12:72338391-72338410_TPH2_-	TPH2	631.0
chr5:175388298-175388317_THOC3_+	THOC3	664.0
chr3:132358326-132358345_ACAD11_+	ACAD11	737.0
chr18:76914519-76914538_ATP9B_-	ATP9B	709.0
chr2:62099251-62099270_CCT4_-	CCT4	1335.0
chr4:85762295-85762314_WDFY3_+	WDFY3	829.0
chr1:247902099-247902118_OR14K1_-	OR14K1	1293.0
chr2:29287897-29287916_C2orf71_-	C2orf71	971.0
chr7:100800730-100800749_AP1S1_-	AP1S1	714.0
chr17:48278835-48278854_COL1A1_+	COL1A1	967.0
chr2:47177633-47177652_TTC7A_+	TTC7A	529.0
