sgRNA_ID	Gene	HAP1_T18B
chr19:13186440-13186459_NFIX_+	NFIX	261.0
chr2:178977283-178977302_RBM45_+	RBM45	576.0
chr2:167318990-167319009_SCN7A_-	SCN7A	533.0
chr11:64055577-64055596_GPR137_-	GPR137	355.0
chr6:34738079-34738098_SNRPC_-	SNRPC	50.0
chr12:27167050-27167069_TM7SF3_-	TM7SF3	258.0
chr17:902054-902073_TIMM22_+	TIMM22	51.0
chr11:102647083-102647102_MMP10_+	MMP10	326.0
chr9:35869822-35869841_OR13J1_-	OR13J1	135.0
chr6:42073671-42073690_C6orf132_+	C6orf132	481.0
chr18:30349927-30349946_KLHL14_-	KLHL14	305.0
chr11:35641006-35641025_FJX1_+	FJX1	74.0
chr16:68293506-68293525_PLA2G15_+	PLA2G15	402.0
chr10:21414953-21414972_C10orf113_-	C10orf113	254.0
chr3:129034529-129034548_H1FX_-	H1FX	107.0
chr1:113245184-113245203_RHOC_-	RHOC	96.0
chr15:75122530-75122549_CPLX3_+	CPLX3	118.0
chr2:86333406-86333425_PTCD3_-	PTCD3	139.0
chr19:51218918-51218937_SHANK1_-	SHANK1	409.0
chr12:54757183-54757202_GPR84_+	GPR84	1282.0
chr2:172644370-172644389_SLC25A12_-	SLC25A12	314.0
chr11:2442336-2442355_TRPM5_-	TRPM5	391.0
chr4:41016375-41016394_APBB2_+	APBB2	185.0
chr9:115013242-115013261_PTBP3_+	PTBP3	187.0
chr5:177546722-177546741_N4BP3_-	N4BP3	126.0
chr19:47164165-47164184_DACT3_-	DACT3	785.0
chr16:67222777-67222796_EXOC3L1_-	EXOC3L1	226.0
chr10:81702575-81702594_SFTPD_-	SFTPD	270.0
chr11:5254277-5254296_HBD_-	HBD	671.0
chr11:58714590-58714609_GLYATL1_+	GLYATL1	398.0
chr7:72992807-72992826_TBL2_-	TBL2	165.0
chr19:7960566-7960585_LRRC8E_+	LRRC8E	825.0
chr17:9549321-9549340_USP43_+	USP43	347.0
chr16:69374112-69374131_NIP7_+	NIP7	18.0
chr9:140196045-140196064_NRARP_+	NRARP	158.0
chr11:64108955-64108974_CCDC88B_+	CCDC88B	31.0
chr11:299304-299323_IFITM5_-	IFITM5	245.0
chr7:101813797-101813816_CUX1_+	CUX1	257.0
chr1:15546004-15546023_TMEM51_-	TMEM51	218.0
chr1:22964157-22964176_C1QA_+	C1QA	674.0
chr16:68012273-68012292_DPEP3_-	DPEP3	633.0
chr19:35521736-35521755_SCN1B_+	SCN1B	332.0
chr11:119206027-119206046_RNF26_+	RNF26	181.0
chr11:6633289-6633308_TAF10_+	TAF10	224.0
chr20:61574978-61574997_GID8_+	GID8	306.0
chr6:167708165-167708184_UNC93A_-	UNC93A	267.0
chr11:94040770-94040789_FOLR4_-	FOLR4	298.0
chr14:65415433-65415452_RAB15_-	RAB15	179.0
chrX:137793145-137793164_FGF13_+	FGF13	1136.0
chr2:42720069-42720088_KCNG3_+	KCNG3	287.0
chr11:47195369-47195388_ARFGAP2_+	ARFGAP2	95.0
chr15:78557189-78557208_DNAJA4_+	DNAJA4	144.0
chr20:2633532-2633551_NOP56_+	NOP56	104.0
chr6:39284123-39284142_KCNK16_-	KCNK16	156.0
chr2:20647388-20647407_RHOB_+	RHOB	262.0
chr11:94554752-94554771_AMOTL1_-	AMOTL1	318.0
chr2:96809999-96810018_DUSP2_+	DUSP2	509.0
chr19:3019317-3019336_TLE2_-	TLE2	226.0
chr2:120003387-120003406_STEAP3_+	STEAP3	190.0
chr12:63544427-63544446_AVPR1A_-	AVPR1A	566.0
chr2:122006580-122006599_TFCP2L1_-	TFCP2L1	252.0
chr5:126113326-126113345_LMNB1_+	LMNB1	69.0
chr8:55372500-55372519_SOX17_-	SOX17	199.0
chr10:696298-696317_PRR26_-	PRR26	323.0
chr16:3070452-3070471_TNFRSF12A_+	TNFRSF12A	132.0
chr2:105859179-105859198_GPR45_-	GPR45	75.0
chr20:60985929-60985948_RBBP8NL_+	RBBP8NL	173.0
chr15:69327738-69327757_NOX5_+	NOX5	326.0
chr18:21043988-21044007_RIOK3_+	RIOK3	518.0
chr2:48668128-48668147_PPP1R21_+	PPP1R21	280.0
chr7:55560019-55560038_VOPP1_+	VOPP1	247.0
chr21:43491452-43491471_UMODL1_+	UMODL1	201.0
chr3:190936719-190936738_OSTN_+	OSTN	148.0
chr19:5951464-5951483_RANBP3_+	RANBP3	116.0
chr2:36623816-36623835_CRIM1_+	CRIM1	372.0
chr2:3691038-3691057_COLEC11_-	COLEC11	352.0
chr8:145584500-145584519_SLC52A2_-	SLC52A2	543.0
chr18:61034324-61034343_KDSR_-	KDSR	225.0
chrX:153001807-153001826_ABCD1_+	ABCD1	208.0
chr6:32825882-32825901_PSMB9_+	PSMB9	461.0
chr16:11650390-11650409_LITAF_+	LITAF	270.0
chr7:2565352-2565371_LFNG_+	LFNG	100.0
chr3:15455592-15455611_METTL6_+	METTL6	335.0
chr14:66975236-66975255_GPHN_+	GPHN	432.0
chr17:2344819-2344838_METTL16_-	METTL16	22.0
chr15:43579780-43579799_TGM7_+	TGM7	227.0
chr19:52709262-52709281_PPP2R1A_+	PPP2R1A	119.0
chr7:140302121-140302140_DENND2A_-	DENND2A	282.0
chr4:114117586-114117605_ANK2_+	ANK2	358.0
chr10:122357947-122357966_C10orf85_+	C10orf85	766.0
chr9:71478785-71478804_PIP5K1B_+	PIP5K1B	91.0
chr12:55863766-55863785_OR6C70_+	OR6C70	251.0
chr2:202700375-202700394_CDK15_-	CDK15	361.0
chr4:41984885-41984904_DCAF4L1_-	DCAF4L1	243.0
chr15:86702180-86702199_AGBL1_+	AGBL1	117.0
chr11:124971116-124971135_TMEM218_+	TMEM218	331.0
chrX:107334745-107334764_PSMD10_-	PSMD10	2.0
chr7:129710500-129710519_KLHDC10_+	KLHDC10	456.0
chr17:46691938-46691957_HOXB8_+	HOXB8	429.0
chr6:38029480-38029499_ZFAND3_-	ZFAND3	178.0
chr3:9976138-9976157_CRELD1_-	CRELD1	569.0
chr11:72316231-72316250_PDE2A_+	PDE2A	183.0
chr1:204588235-204588254_LRRN2_-	LRRN2	763.0
chr14:20585700-20585719_OR4K17_+	OR4K17	278.0
chr11:77301088-77301107_AQP11_+	AQP11	325.0
chr7:116395461-116395480_MET_+	MET	348.0
chr2:160599725-160599744_MARCH7_+	MARCH7	477.0
chr19:12863445-12863464_BEST2_-	BEST2	323.0
chr6:168709108-168709127_DACT2_+	DACT2	379.0
chr11:63978258-63978277_FERMT3_-	FERMT3	158.0
chr20:3025211-3025230_GNRH2_-	GNRH2	164.0
chr4:186583302-186583321_SORBS2_+	SORBS2	233.0
chr9:116838912-116838931_AMBP_-	AMBP	401.0
chr14:93673355-93673374_C14orf142_-	C14orf142	242.0
chr22:17566098-17566117_IL17RA_-	IL17RA	117.0
chr17:6555350-6555369_C17orf100_-	C17orf100	462.0
chr5:158745816-158745835_IL12B_-	IL12B	355.0
chr2:220466745-220466764_STK11IP_-	STK11IP	586.0
chr17:78188072-78188091_SGSH_+	SGSH	310.0
chr14:91805714-91805733_CCDC88C_+	CCDC88C	278.0
chr21:38081529-38081548_SIM2_+	SIM2	302.0
chr11:16766147-16766166_C11orf58_+	C11orf58	432.0
chr12:442718-442737_KDM5A_+	KDM5A	535.0
chr5:169310797-169310816_FAM196B_+	FAM196B	255.0
chr6:5368962-5368981_FARS2_+	FARS2	12.0
chr10:95326642-95326661_FFAR4_+	FFAR4	263.0
chr4:185940609-185940628_HELT_+	HELT	493.0
chr5:139943809-139943828_APBB3_-	APBB3	157.0
chr20:44569470-44569489_PCIF1_-	PCIF1	156.0
chr18:46190152-46190171_CTIF_+	CTIF	233.0
chr11:101918552-101918571_C11orf70_+	C11orf70	207.0
chr16:31439429-31439448_COX6A2_+	COX6A2	142.0
chr12:123333070-123333089_HIP1R_-	HIP1R	243.0
chr22:30890930-30890949_SEC14L4_-	SEC14L4	225.0
chr9:139745206-139745225_PHPT1_-	PHPT1	107.0
chr4:110221741-110221760_COL25A1_+	COL25A1	257.0
chr3:50323908-50323927_LSMEM2_-	LSMEM2	377.0
chr12:75601178-75601197_KCNC2_-	KCNC2	252.0
chr4:46307609-46307628_GABRA2_-	GABRA2	192.0
chr6:31513247-31513266_ATP6V1G2_+	ATP6V1G2	713.0
chr5:172755163-172755182_STC2_-	STC2	320.0
chr1:160091008-160091027_ATP1A2_+	ATP1A2	260.0
chr1:26189712-26189731_PAQR7_-	PAQR7	774.0
chr8:67342017-67342036_RRS1_+	RRS1	107.0
chr16:3544656-3544675_C16orf90_-	C16orf90	382.0
chrX:128926650-128926669_SASH3_+	SASH3	500.0
chr14:24470628-24470647_DHRS4L2_+	DHRS4L2	448.0
chr14:24435527-24435546_DHRS4_+	DHRS4	263.0
chr15:33022993-33023012_GREM1_-	GREM1	1634.0
chr1:40366647-40366666_MYCL_-	MYCL	281.0
chr11:111957420-111957439_TIMM8B_-	TIMM8B	57.0
chr22:42229328-42229347_SREBF2_+	SREBF2	555.0
chr12:52448585-52448604_NR4A1_-	NR4A1	282.0
chr7:100137107-100137126_AGFG2_-	AGFG2	188.0
chr19:46997416-46997435_PNMAL2_-	PNMAL2	440.0
chr22:18077297-18077316_ATP6V1E1_+	ATP6V1E1	8.0
chr6:27860845-27860864_HIST1H2AM_-	HIST1H2AM	619.0
chr8:80677665-80677684_HEY1_-	HEY1	317.0
chr21:43327771-43327790_C2CD2_-	C2CD2	182.0
chr6:43098322-43098341_PTK7_-	PTK7	197.0
chr22:38061613-38061632_PDXP_-	PDXP	478.0
chr22:50921179-50921198_ADM2_-	ADM2	170.0
chr20:23420967-23420986_CSTL1_+	CSTL1	654.0
chr22:50018277-50018296_C22orf34_+	C22orf34	388.0
chr7:51203959-51203978_COBL_-	COBL	351.0
chr1:161128201-161128220_UFC1_+	UFC1	327.0
chr17:17925126-17925145_ATPAF2_+	ATPAF2	549.0
chr5:140052135-140052154_DND1_-	DND1	456.0
chr16:615055-615074_C16orf11_+	C16orf11	363.0
chr12:113629293-113629312_C12orf52_-	C12orf52	245.0
chr9:35101766-35101785_STOML2_+	STOML2	260.0
chr1:1115048-1115067_TTLL10_-	TTLL10	193.0
chrX:48974100-48974119_GPKOW_-	GPKOW	33.0
chr17:42268042-42268061_TMUB2_-	TMUB2	133.0
chr4:140616400-140616419_MGST2_+	MGST2	139.0
chr20:37144842-37144861_RALGAPB_-	RALGAPB	22.0
chr5:147258372-147258391_SCGB3A2_+	SCGB3A2	109.0
chr15:44131870-44131889_WDR76_-	WDR76	66.0
chr17:61958745-61958764_GH2_+	GH2	263.0
chr20:23349529-23349548_GZF1_-	GZF1	476.0
chr12:4609306-4609325_C12orf4_-	C12orf4	471.0
chr7:22985694-22985713_FAM126A_+	FAM126A	313.0
chr7:81964495-81964514_CACNA2D1_-	CACNA2D1	180.0
chr3:169866964-169866983_PHC3_+	PHC3	152.0
chr14:52417438-52417457_GNG2_+	GNG2	409.0
chr15:25222084-25222103_SNRPN_+	SNRPN	55.0
chr20:629453-629472_SRXN1_+	SRXN1	315.0
chr5:140750096-140750115_PCDHGB3_+	PCDHGB3	130.0
chr4:129193633-129193652_PGRMC2_-	PGRMC2	311.0
chr2:219735766-219735785_WNT6_-	WNT6	228.0
chr11:836822-836841_CD151_-	CD151	127.0
chr9:131151944-131151963_URM1_-	URM1	372.0
chr19:51009465-51009484_JOSD2_-	JOSD2	276.0
chr10:5944968-5944987_FBXO18_+	FBXO18	267.0
chr5:180218990-180219009_MGAT1_+	MGAT1	302.0
chr12:13237982-13238001_GSG1_+	GSG1	161.0
chr17:7187069-7187088_SLC2A4_+	SLC2A4	267.0
chr19:45259537-45259556_BCL3_+	BCL3	130.0
chr17:10614258-10614277_ADPRM_+	ADPRM	806.0
chr10:45495821-45495840_C10orf25_+	C10orf25	112.0
chr4:175443107-175443126_HPGD_+	HPGD	653.0
chr6:137243694-137243713_SLC35D3_-	SLC35D3	225.0
chr19:17932148-17932167_INSL3_-	INSL3	249.0
chr6:112017528-112017547_FYN_-	FYN	367.0
chr4:995891-995910_IDUA_+	IDUA	180.0
chr20:32247470-32247489_NECAB3_+	NECAB3	529.0
chr19:2515064-2515083_GNG7_-	GNG7	304.0
chr8:143781966-143781985_LY6K_+	LY6K	699.0
chr12:121132024-121132043_MLEC_+	MLEC	256.0
chr12:55641494-55641513_OR6C74_+	OR6C74	470.0
chr2:97506185-97506204_ANKRD23_-	ANKRD23	293.0
chr19:30193654-30193673_C19orf12_-	C19orf12	179.0
chr14:96001567-96001586_GLRX5_+	GLRX5	12.0
chr10:124597018-124597037_CUZD1_+	CUZD1	537.0
chr16:82104707-82104726_HSD17B2_+	HSD17B2	229.0
chr2:61233737-61233756_PUS10_+	PUS10	297.0
chr6:41655689-41655708_TFEB_+	TFEB	217.0
chr22:50832505-50832524_PPP6R2_+	PPP6R2	1062.0
chr17:3030239-3030258_OR1G1_-	OR1G1	697.0
chr17:61995732-61995751_GH1_+	GH1	514.0
chr14:74179352-74179371_PNMA1_-	PNMA1	289.0
chr15:77310828-77310847_PSTPIP1_+	PSTPIP1	405.0
chr17:78157860-78157879_CARD14_-	CARD14	516.0
chr16:67208261-67208280_NOL3_+	NOL3	267.0
chr16:11770098-11770117_SNN_+	SNN	305.0
chr5:140530414-140530433_PCDHB6_+	PCDHB6	429.0
chr1:85930584-85930603_DDAH1_+	DDAH1	881.0
chr19:5914652-5914671_CAPS_+	CAPS	149.0
chr1:25558681-25558700_SYF2_-	SYF2	83.0
chr22:44322933-44322952_PNPLA3_-	PNPLA3	263.0
chr6:41751263-41751282_PRICKLE4_-	PRICKLE4	136.0
chr1:11732003-11732022_FBXO6_+	FBXO6	91.0
chr22:24628025-24628044_GGT5_-	GGT5	143.0
chr1:11769410-11769429_DRAXIN_-	DRAXIN	191.0
chrX:21875039-21875058_YY2_-	YY2	406.0
chr6:163984514-163984533_QKI_-	QKI	287.0
chr3:128840248-128840267_RAB43_-	RAB43	697.0
chr12:50356082-50356101_AQP5_+	AQP5	177.0
chr10:81932571-81932590_ANXA11_+	ANXA11	246.0
LacZ:860-879_LacZ_-	LacZ	419.0
chr11:74660388-74660407_SPCS2_+	SPCS2	38.0
chr11:2591866-2591885_KCNQ1_+	KCNQ1	925.0
chr11:129827655-129827674_PRDM10_-	PRDM10	53.0
chr16:30997006-30997025_HSD3B7_+	HSD3B7	145.0
chr13:48571031-48571050_SUCLA2_-	SUCLA2	336.0
chr1:117616324-117616343_TTF2_+	TTF2	102.0
chr8:133895176-133895195_TG_+	TG	306.0
chr2:219399384-219399403_USP37_+	USP37	93.0
chr22:38229724-38229743_ANKRD54_+	ANKRD54	215.0
chr1:6609664-6609683_NOL9_+	NOL9	20.0
chr1:26149586-26149605_MTFR1L_+	MTFR1L	101.0
chr11:124496418-124496437_TBRG1_+	TBRG1	334.0
chr5:41065437-41065456_MROH2B_+	MROH2B	401.0
chr11:56043282-56043301_OR5T1_+	OR5T1	807.0
chr11:85609993-85610012_CCDC83_+	CCDC83	261.0
chrX:70316637-70316656_FOXO4_+	FOXO4	232.0
chr17:44076863-44076882_STH_-	STH	439.0
chr5:131796357-131796376_C5orf56_-	C5orf56	341.0
chr10:115334057-115334076_HABP2_-	HABP2	260.0
chr11:3849246-3849265_RHOG_+	RHOG	98.0
chr22:31484867-31484886_SMTN_-	SMTN	322.0
chr11:113196346-113196365_TTC12_+	TTC12	482.0
chr12:122231420-122231439_RHOF_+	RHOF	463.0
chr1:1957153-1957172_GABRD_-	GABRD	421.0
chr13:114156100-114156119_TMCO3_-	TMCO3	425.0
chr19:1295673-1295692_EFNA2_+	EFNA2	235.0
chr11:62389341-62389360_B3GAT3_+	B3GAT3	248.0
chr10:90966578-90966597_CH25H_-	CH25H	491.0
chr11:6291357-6291376_CCKBR_-	CCKBR	646.0
chr1:55223640-55223659_PARS2_-	PARS2	3.0
chr22:51020204-51020223_CHKB_-	CHKB	475.0
chr20:31108651-31108670_C20orf112_-	C20orf112	111.0
chr18:47792744-47792763_CCDC11_+	CCDC11	692.0
chr22:19230305-19230324_CLTCL1_-	CLTCL1	272.0
chr19:18979693-18979712_GDF1_-	GDF1	378.0
chr5:34863118-34863137_TTC23L_+	TTC23L	576.0
chr20:390508-390527_RBCK1_+	RBCK1	230.0
chr10:100503680-100503699_HPSE2_+	HPSE2	370.0
chr6:89895036-89895055_GABRR1_+	GABRR1	431.0
chr11:60886757-60886776_CD5_-	CD5	280.0
chr1:100459216-100459235_SLC35A3_-	SLC35A3	386.0
chr1:165175165-165175184_LMX1A_+	LMX1A	228.0
chr16:31157197-31157216_PRSS36_+	PRSS36	412.0
chr20:55206316-55206335_TFAP2C_-	TFAP2C	394.0
chr19:43967396-43967415_LYPD3_+	LYPD3	471.0
chr14:94567093-94567112_IFI27L1_+	IFI27L1	525.0
chr2:16082243-16082262_MYCN_-	MYCN	773.0
chr11:772436-772455_PDDC1_+	PDDC1	263.0
chr4:187557841-187557860_FAT1_+	FAT1	411.0
chr12:6646260-6646279_GAPDH_+	GAPDH	113.0
chr12:58109698-58109717_OS9_-	OS9	336.0
chr17:57430817-57430836_YPEL2_-	YPEL2	355.0
chr19:2271404-2271423_OAZ1_+	OAZ1	484.0
chr1:22817051-22817070_ZBTB40_-	ZBTB40	404.0
chr2:175263135-175263154_SCRN3_+	SCRN3	252.0
chr14:23057952-23057971_DAD1_-	DAD1	5.0
chrX:9716678-9716697_GPR143_-	GPR143	294.0
chr17:71084896-71084915_SLC39A11_-	SLC39A11	534.0
chr9:140151317-140151336_NELFB_+	NELFB	2.0
chr5:177019592-177019611_TMED9_+	TMED9	80.0
chr16:24043531-24043550_PRKCB_+	PRKCB	212.0
chr3:44906549-44906568_TMEM42_+	TMEM42	340.0
chr19:14593527-14593546_GIPC1_-	GIPC1	132.0
chrX:83723586-83723605_HDX_+	HDX	295.0
chr2:201371662-201371681_KCTD18_-	KCTD18	54.0
chr17:76969234-76969253_LGALS3BP_+	LGALS3BP	252.0
chr20:50133342-50133361_NFATC2_-	NFATC2	389.0
chrX:135829669-135829688_ARHGEF6_-	ARHGEF6	217.0
chr2:174223519-174223538_CDCA7_-	CDCA7	590.0
chr3:128292166-128292185_C3orf27_+	C3orf27	148.0
chr3:133098694-133098713_TMEM108_-	TMEM108	456.0
chr16:77468343-77468362_ADAMTS18_+	ADAMTS18	337.0
chr1:167517241-167517260_CREG1_-	CREG1	324.0
chr11:900950-900969_CHID1_-	CHID1	651.0
chr6:31619493-31619512_BAG6_+	BAG6	87.0
chr7:102107870-102107889_LRWD1_+	LRWD1	314.0
chr6:138197241-138197260_TNFAIP3_-	TNFAIP3	517.0
chr17:76178680-76178699_TK1_-	TK1	233.0
chr19:35775905-35775924_HAMP_+	HAMP	468.0
chr7:73927168-73927187_GTF2IRD1_+	GTF2IRD1	202.0
chr1:31191594-31191613_MATN1_-	MATN1	279.0
chr10:91222310-91222329_SLC16A12_+	SLC16A12	709.0
chr11:394451-394470_PKP3_-	PKP3	688.0
chr7:33976939-33976958_BMPER_+	BMPER	618.0
chr11:71735377-71735396_NUMA1_+	NUMA1	282.0
chr21:40191451-40191470_ETS2_-	ETS2	469.0
chr1:231556974-231556993_EGLN1_+	EGLN1	165.0
chr13:113783898-113783917_F10_-	F10	156.0
chr11:6486905-6486924_TRIM3_+	TRIM3	568.0
chr17:41132881-41132900_RUNDC1_+	RUNDC1	470.0
chr4:41941329-41941348_TMEM33_-	TMEM33	180.0
chr2:233323351-233323370_ALPI_-	ALPI	598.0
chr7:2564899-2564918_LFNG_+	LFNG	148.0
chr1:53662740-53662759_CPT2_-	CPT2	631.0
chr20:590662-590681_TCF15_+	TCF15	587.0
chr2:169853158-169853177_ABCB11_-	ABCB11	516.0
chr5:173416409-173416428_C5orf47_+	C5orf47	153.0
chr22:19711933-19711952_GP1BB_+	GP1BB	204.0
chrX:79278598-79278617_TBX22_-	TBX22	605.0
chr8:145577437-145577456_TMEM249_-	TMEM249	302.0
chr14:75989027-75989046_BATF_-	BATF	435.0
chr12:120800884-120800903_MSI1_-	MSI1	270.0
chr3:146251265-146251284_PLSCR1_+	PLSCR1	284.0
chr11:18743106-18743125_IGSF22_+	IGSF22	361.0
chr15:44487172-44487191_FRMD5_+	FRMD5	178.0
chr12:109728024-109728043_FOXN4_-	FOXN4	164.0
chr2:27352185-27352204_ABHD1_+	ABHD1	318.0
chr3:187387017-187387036_SST_-	SST	83.0
chrX:154305537-154305556_BRCC3_+	BRCC3	358.0
chr11:1585142-1585161_DUSP8_+	DUSP8	328.0
chr21:35469260-35469279_SLC5A3_-	SLC5A3	546.0
chr17:16843818-16843837_TNFRSF13B_-	TNFRSF13B	253.0
chr13:108922411-108922430_TNFSF13B_+	TNFSF13B	956.0
chr10:13276216-13276235_UCMA_-	UCMA	160.0
chr1:113084652-113084671_ST7L_+	ST7L	279.0
chr1:119929380-119929399_HAO2_+	HAO2	511.0
chr12:9162087-9162106_KLRG1_+	KLRG1	306.0
chr10:74916036-74916055_ECD_-	ECD	26.0
chr20:39991104-39991123_EMILIN3_+	EMILIN3	681.0
chr1:26774102-26774121_DHDDS_+	DHDDS	16.0
chr5:1422058-1422077_SLC6A3_+	SLC6A3	797.0
chr14:60749545-60749564_PPM1A_+	PPM1A	949.0
chr12:52642374-52642393_KRT7_+	KRT7	382.0
chr7:108524564-108524583_C7orf66_-	C7orf66	372.0
chr2:219754802-219754821_WNT10A_+	WNT10A	719.0
chr17:27005098-27005117_SUPT6H_+	SUPT6H	37.0
chr17:4842133-4842152_SLC25A11_-	SLC25A11	416.0
chr13:32885798-32885817_ZAR1L_-	ZAR1L	214.0
chr20:30449385-30449404_DUSP15_-	DUSP15	193.0
chr4:94750458-94750477_ATOH1_+	ATOH1	176.0
chr8:61135310-61135329_CA8_-	CA8	291.0
chr8:95952145-95952164_TP53INP1_-	TP53INP1	394.0
chr1:87797814-87797833_LMO4_-	LMO4	987.0
chr17:36863747-36863766_MLLT6_+	MLLT6	62.0
chr10:127349620-127349639_TEX36_+	TEX36	899.0
chr9:140083549-140083568_SSNA1_+	SSNA1	708.0
chr1:24201231-24201250_CNR2_-	CNR2	426.0
chr7:7635939-7635958_MIOS_+	MIOS	118.0
chr4:57522052-57522071_HOPX_-	HOPX	218.0
chr19:55144051-55144070_LILRB1_-	LILRB1	589.0
chr22:46751943-46751962_TRMU_+	TRMU	736.0
chr6:45870818-45870837_CLIC5_+	CLIC5	242.0
chr2:152663337-152663356_ARL5A_-	ARL5A	422.0
chr5:34020788-34020807_C1QTNF3_-	C1QTNF3	269.0
chr5:151131287-151131306_ATOX1_-	ATOX1	411.0
chr12:33592373-33592392_SYT10_-	SYT10	304.0
chr22:31010452-31010471_TCN2_+	TCN2	230.0
chr17:2241018-2241037_SGSM2_+	SGSM2	407.0
chr20:43753012-43753031_WFDC12_-	WFDC12	119.0
chr1:23281869-23281888_LACTBL1_-	LACTBL1	297.0
chrX:54467126-54467145_TSR2_+	TSR2	11.0
chr20:307123-307142_SOX12_+	SOX12	301.0
chr17:39471660-39471679_KRTAP17-1_-	KRTAP17-1	465.0
chr22:31597550-31597569_RNF185_-	RNF185	507.0
chr12:130387842-130387861_TMEM132D_-	TMEM132D	254.0
chr6:87993949-87993968_GJB7_+	GJB7	373.0
chr22:50355313-50355332_PIM3_-	PIM3	237.0
chr21:34841104-34841123_TMEM50B_-	TMEM50B	703.0
chr6:46214487-46214506_RCAN2_-	RCAN2	438.0
chr7:73151931-73151950_ABHD11_+	ABHD11	205.0
chr1:6500463-6500482_ESPN_-	ESPN	350.0
chr8:11607676-11607695_GATA4_+	GATA4	457.0
chr17:27031767-27031786_PROCA1_+	PROCA1	266.0
chr19:964357-964376_ARID3A_+	ARID3A	279.0
chr9:12694160-12694179_TYRP1_+	TYRP1	275.0
chr9:131670862-131670881_LRRC8A_+	LRRC8A	174.0
chr2:74531685-74531704_SLC4A5_+	SLC4A5	436.0
chr17:73663439-73663458_SAP30BP_+	SAP30BP	0.0
chr6:25450183-25450202_LRRC16A_+	LRRC16A	301.0
chr5:169309949-169309968_FAM196B_+	FAM196B	392.0
chr7:123332789-123332808_WASL_+	WASL	529.0
chr6:43655469-43655488_MRPS18A_-	MRPS18A	160.0
chr19:36360640-36360659_APLP1_-	APLP1	553.0
chr19:42396157-42396176_ARHGEF1_-	ARHGEF1	483.0
chr12:57883289-57883308_MARS_-	MARS	186.0
chr19:55420777-55420796_NCR1_-	NCR1	253.0
chr19:44015650-44015669_ETHE1_+	ETHE1	395.0
chr20:25485549-25485568_NINL_-	NINL	343.0
chr16:3024278-3024297_PKMYT1_-	PKMYT1	42.0
chr1:222743955-222743974_TAF1A_+	TAF1A	198.0
chr4:84377237-84377256_MRPS18C_+	MRPS18C	113.0
chr6:116864500-116864519_TRAPPC3L_-	TRAPPC3L	226.0
chr11:59861485-59861504_MS4A2_+	MS4A2	362.0
chr8:80942456-80942475_MRPS28_-	MRPS28	408.0
chr1:113161534-113161553_ST7L_-	ST7L	349.0
chr8:86121496-86121515_E2F5_-	E2F5	243.0
chr17:80618853-80618872_RAB40B_+	RAB40B	387.0
chr17:30202402-30202421_UTP6_-	UTP6	27.0
chr2:176965238-176965257_HOXD12_+	HOXD12	162.0
chr22:22287908-22287927_PPM1F_-	PPM1F	308.0
chr15:40684152-40684171_KNSTRN_+	KNSTRN	200.0
chrX:119693981-119694000_CUL4B_+	CUL4B	113.0
chr5:94865795-94865814_TTC37_-	TTC37	64.0
chr11:74800234-74800253_OR2AT4_+	OR2AT4	390.0
chr21:45706547-45706566_AIRE_+	AIRE	321.0
chr9:104192066-104192085_ALDOB_-	ALDOB	402.0
chr5:154169917-154169936_LARP1_+	LARP1	83.0
chr2:219903211-219903230_CCDC108_+	CCDC108	555.0
chr6:158403089-158403108_SYNJ2_+	SYNJ2	7.0
chr21:19165812-19165831_C21orf91_+	C21orf91	199.0
chr3:89448580-89448599_EPHA3_-	EPHA3	527.0
chr3:11606331-11606350_VGLL4_+	VGLL4	624.0
chr12:120972652-120972671_RNF10_-	RNF10	490.0
chr1:241724008-241724027_KMO_+	KMO	95.0
chr18:21229070-21229089_ANKRD29_-	ANKRD29	145.0
chr12:7090769-7090788_LPCAT3_-	LPCAT3	194.0
chr1:16372160-16372179_CLCNKB_+	CLCNKB	293.0
chr19:18650504-18650523_FKBP8_-	FKBP8	115.0
chr20:44512587-44512606_ZSWIM1_+	ZSWIM1	352.0
chr1:203767605-203767624_ZBED6_+	ZBED6	175.0
chr6:150211968-150211987_RAET1E_-	RAET1E	205.0
chr12:66541700-66541719_TMBIM4_-	TMBIM4	328.0
chr19:4538896-4538915_LRG1_-	LRG1	326.0
chrX:119070243-119070262_NKAP_+	NKAP	158.0
chr9:131030233-131030252_GOLGA2_+	GOLGA2	258.0
chr4:70361376-70361395_UGT2B4_+	UGT2B4	196.0
chr8:21824450-21824469_XPO7_-	XPO7	120.0
chr2:44428462-44428481_PPM1B_+	PPM1B	487.0
chr7:135433283-135433302_FAM180A_-	FAM180A	234.0
chr16:3656648-3656667_SLX4_+	SLX4	21.0
chr17:2221227-2221246_SRR_+	SRR	84.0
chr2:272210-272229_ACP1_+	ACP1	300.0
chr9:135224718-135224737_SETX_+	SETX	334.0
chr4:95561436-95561455_PDLIM5_-	PDLIM5	321.0
chr16:31045808-31045827_STX4_-	STX4	294.0
chr9:130476958-130476977_PTRH1_-	PTRH1	105.0
chr1:24288016-24288035_PNRC2_+	PNRC2	492.0
chr2:202342408-202342427_STRADB_-	STRADB	226.0
chr15:33023185-33023204_GREM1_+	GREM1	620.0
chr11:14303212-14303231_RRAS2_-	RRAS2	34.0
chr5:178310296-178310315_ZNF354B_-	ZNF354B	153.0
chr12:96107092-96107111_NTN4_+	NTN4	147.0
